mech_game_id,game_id,category
1071,478,City_Building
1072,478,Fantasy
1073,478,Medieval
1074,39351,Economic
1075,39351,Industry_Manufacturing
1076,15062,Adventure
1077,15062,Deduction
1078,15062,Fantasy
1079,15062,Medieval
1080,15062,Mythology
1081,150,Action_Dexterity
1082,150,Childrens_Game
1083,150,Party_Game
1084,150,Racing
1085,150,Sports
1086,9625,Age_of_Reason
1087,9625,Civilization
1088,9625,Fighting
1089,9625,Political
1090,9625,Territory_Building
1091,97842,Card_Game
1092,97842,Economic
1093,97842,Humor
1094,155987,Card_Game
1095,155987,Mythology
1096,155987,Science_Fiction
1097,39938,American_West
1098,39938,City_Building
1099,39938,Economic
1100,155703,Animals
1101,155703,Card_Game
1102,155703,Environmental
1103,155703,Prehistoric
1104,155703,Print_&_Play
1105,9674,Abstract_Strategy
1106,3307,Economic
1107,3307,Renaissance
1108,3307,Territory_Building
1109,140603,Bluffing
1110,140603,Exploration
1111,140603,Nautical
1112,140603,Pirates
1113,140603,Renaissance
1114,15363,Exploration
1115,15363,Fighting
1116,15363,Science_Fiction
1117,15363,Wargame
1118,199042,Card_Game
1119,199042,Movies_TV_Radio_theme
1120,199042,Novel-based
1121,18,Maze
1122,18,Miniatures
1123,18,Racing
1124,18,Science_Fiction
1125,192836,Civilization
1126,1513,Ancient
1127,1513,Negotiation
1128,1513,Political
1129,1513,Wargame
1130,133473,Card_Game
1131,22827,Civilization
1132,22827,Fighting
1133,22827,Miniatures
1134,22827,Science_Fiction
1135,22827,Space_Exploration
1136,22827,Territory_Building
1137,22827,Video_Game_Theme
1138,22827,Wargame
1139,42776,Fighting
1140,42776,Miniatures
1141,42776,Science_Fiction
1142,42776,Video_Game_Theme
1143,31999,Abstract_Strategy
1144,192457,Fighting
1145,192457,Miniatures
1146,192457,Science_Fiction
1147,192457,Wargame
1148,2346,Abstract_Strategy
1149,159508,Nautical
1150,159508,Science_Fiction
1151,192135,Adventure
1152,192135,Dice
1153,192135,Fantasy
1154,192135,Wargame
1155,21790,Renaissance
1156,21790,Transportation
1157,134726,Card_Game
1158,134726,Fantasy
1159,134726,Horror
1160,134726,Humor
1161,134726,Pirates
1162,134726,Prehistoric
1163,134726,Science_Fiction
1164,134726,SpiesSecret_Agents
1165,160010,Adventure
1166,160010,Fantasy
1167,160010,Fighting
1168,160010,Miniatures
1169,160010,Novel-based
1170,119432,Trains
1171,181521,Adventure
1172,181521,Card_Game
1173,181521,Fantasy
1174,20437,City_Building
1175,20437,Dice
1176,20437,Economic
1177,191862,Ancient
1178,27746,Ancient
1179,27746,Negotiation
1180,177639,Animals
1181,177639,Fighting
1182,177639,Science_Fiction
1183,121288,Card_Game
1184,121288,Humor
1185,121288,Party_Game
1186,50750,City_Building
1187,50750,Economic
1188,50750,Fantasy
1189,140934,Card_Game
1190,65532,Adventure
1191,65532,Fantasy
1192,65532,Fighting
1193,65532,Miniatures
1194,206941,Trains
1195,31730,Economic
1196,31730,Post-Napoleonic
1197,31730,Trains
1198,31730,Transportation
1199,209778,Exploration
1200,209778,Fantasy
1201,209778,Humor
1202,209778,Maze
1203,209778,Party_Game
1204,209778,Real-time
1205,158600,Card_Game
1206,158600,Medieval
1207,58281,Card_Game
1208,58281,Fantasy
1209,58281,Fighting
1210,586,Card_Game
1211,586,Wargame
1212,586,World_War_II
1213,111341,Civilization
1214,111341,Economic
1215,111341,Industry_Manufacturing
1216,111341,Transportation
1217,121408,Card_Game
1218,121408,Territory_Building
1219,121408,Trains
1220,47,City_Building
1221,47,Economic
1222,47,Negotiation
1223,18098,Napoleonic
1224,18098,Wargame
1225,131357,Bluffing
1226,131357,Card_Game
1227,131357,Deduction
1228,131357,Party_Game
1229,131357,Political
1230,167400,Card_Game
1231,167400,Dice
1232,167400,Fantasy
1233,167400,Fighting
1234,143519,Dice
1235,143519,Fighting
1236,143519,Science_Fiction
1237,143519,Space_Exploration
1238,166384,Bluffing
1239,166384,Deduction
1240,166384,Humor
1241,166384,Party_Game
1242,166384,SpiesSecret_Agents
1243,11,Card_Game
1244,11,Farming
1245,11,Negotiation
1246,163166,Bluffing
1247,163166,Card_Game
1248,163166,Deduction
1249,163166,Horror
1250,163166,Party_Game
1251,135219,Adventure
1252,135219,Fantasy
1253,135219,Fighting
1254,135219,Miniatures
1255,135219,Novel-based
1256,135219,Wargame
1257,24800,Wargame
1258,24800,World_War_II
1259,128780,Card_Game
1260,128780,Civil_War
1261,128780,Economic
1262,128780,Political
1263,128780,Post-Napoleonic
1264,128780,Wargame
1265,30869,Ancient
1266,30869,Exploration
1267,30869,Travel
1268,1353,Humor
1269,1353,Party_Game
1270,151022,Card_Game
1271,151022,Science_Fiction
1272,151022,Sports
1273,372,Card_Game
1274,372,Deduction
1275,36235,Abstract_Strategy
1276,36235,Medieval
1277,26997,Political
1278,155624,Deduction
1279,155624,Fighting
1280,155624,Miniatures
1281,155624,Science_Fiction
1282,155624,SpiesSecret_Agents
